english_page_header,english_full_lyrics,chinese_trad_title--header,chinese_trad_lyrics--whole
"Hymn 1 - Holy, Holy, Holy","Holy, holy, holy! Lord God Almighty!
Early in the morning our song shall rise to Thee;
Holy, holy, holy, merciful and mighty!
God over all who rules eternity.

Holy, holy, holy! All the saints adore Thee,
Casting down their golden crowns around the glassy sea;
Cherubim and seraphim falling down before Thee,
Who wert, and art, and evermore shalt be.

Holy, holy, holy! Though the darkness hide Thee,
Though the eye of sinful man Thy glory may not see;
Only Thou art holy; there is none beside Thee,
Perfect in power, in love, and purity.",第 1 首 - 頌讚獨一真神,"聖哉，聖哉，聖哉，全能大主宰！
天上、地下、海中萬物，頌主高名；
聖善、恩慈、誠實，自古永無更改，
獨一的真神，應當受讚美。

聖哉，聖哉，聖哉，群聖皆跪拜！
各以華麗冠冕，捧在寶座面前；
權柄、尊貴、榮耀，都歸被殺羔羊，
昔在而今在，永在萬萬年。

聖哉，聖哉，聖哉，鴻恩遍宇內！
蒙贖信徒，得瞻救主 威赫榮光；
公義、真理、審判，誰與聖靈堪比？
智、仁、勇全備，大哉，保惠師！"
"Hymn 2 - Hallelujah, Praise the Father","Hallelujah, Praise the Father! Amen, Amen, Hallelujah!
Lift your voice, praise the merciful Father, O sing: “Hallelujah!”

Hallelujah, Praise to Jesus! Amen, Amen, Hallelujah!
Lift your voice, praise our Saviour Jesus, O sing: “Hallelujah!”

Hallelujah, Praise the Spirit! Amen, Amen, Hallelujah!
Lift your voice, praise the Holy Spirit, O sing: “Hallelujah!”

Glory, glory, Hallelujah! Glory, glory, Hallelujah!
Lift your voice, and sing His praises, “Glory, endless glory!”",第 2 首 - 讚美聖父,"哈利路亞，讚美聖父！
阿們，阿們，哈利路亞！
高聲讚美，慈悲聖父，
歌曰：「哈利路亞！」

哈利路亞，讚美耶穌！
阿們，阿們，哈利路亞！
高聲讚美，救主耶穌，
歌曰：「哈利路亞！」

哈利路亞，讚美聖靈！
阿們，阿們，哈利路亞！
高聲讚美，全能聖靈，
歌曰：「哈利路亞！」

榮耀，榮耀，哈利路亞！
榮耀，榮耀，哈利路亞！
高聲讚美，欣欣 
歌曰：「讚美，不勝讚美！」。"
Hymn 3 - The God of Abraham Praise,"The God of Abraham praise, All praised be His name,
Who was, and is, and is to be, For aye the same!
The one eternal God, Ere aught that now appears;
The First, the Last: beyond all thought His timeless years!

His spirit floweth free, High surging where it will;
In prophet’s word He spoke of old, He speaketh still.
Established is His law, And changeless it shall stand,
Deep writ upon the human heart, On sea or land.

He hath eternal life, Implanted in the soul;
His love shall be our strength and stay While ages roll.
Praise to the living God! All praised be His name,
Who was, and is, and is to be, For aye the same!",第 3 首 - 亞伯拉罕的神,"亞伯拉罕的神，萬有稱頌祢名，
昔在今在以後永在，永不變更。
永恆獨一真神，天上地下同尊，
是初是終，莫測高深，永世長存。

聖靈活水江河，按神旨意運行，
昔日神藉先知預言，今仍引領。
親自建立真道，祂法度永留存，
主道遍滿海洋、陸地，深印我心。

祂有永遠生命，白白賞賜世人，
主愛是我力量、幫助，永遠長存。
眾聖徒齊頌揚，讚美永活真神，
全能、全智、全德上主，萬世頌吟。"
"Hymn 4 - I Love Thy Kingdom, Lord","I love Thy kingdom, Lord, The house of Thine abode,
The church our blest Redeemer saved With His own precious blood.

I love Thy church, O God! Her walls before Thee stand,
Dear as the apple of Thine eye, And graven on Thy hand.

For her my tears shall fall; For her my prayers ascend;
To her my cares and toils be giv’n, Till toils and cares shall end.

Beyond my highest joy I prize her heav’nly ways,
Her sweet communion, solemn vows, Her hymns of love and praise.

Sure as Thy truth shall last, To Zion shall be giv’n
The brightest glories earth can yield, And brighter bliss of heav’n.",第 4 首 - 讚美天父,"我心讚美天父，救贖之恩顯明；
盡心、盡意、盡性、盡力，讚衪極美聖名！

我心讚美天父，永遠萬福之根；
不可忘記主大慈愛，不可忘記主恩。

天父已發慈憐，寬容我攏總罪；
為我醫治一切疾病，使我得福百倍。

患難、困苦臨身，世間有誰照顧？
主憐憫我，伸出右手，能救我脫苦楚。

像父母愛兒女，從小常常保護；
天父如此慈悲、憐憫，常賜恩典眷顧。

天上聖使千萬，地下人民無數；
一同敬拜，一同稱讚，榮耀歸於天父。"
Hymn 5 - This Is My Father’s World,"This is my Father’s world,
And to my listening ears,
All nature sings, and round me rings
The music of the spheres.

This is my Father’s world,
I rest me in the thought
Of rocks and trees, of skies and seas;
His hand the wonders wrought.

This is my Father’s world,
The birds their carols raise,
The morning light, the lily white,
Declare their Maker’s praise.

This is my Father’s world,
He shines in all that’s fair;
In the rustling grass I hear Him pass;
He speaks to me everywhere.

This is my Father’s world,
O let me ne’er forget
That though the wrong seems oft so strong,
God is the ruler yet.

This is my Father’s world,
The battle is not done;
Jesus who died shall be satisfied,
And earth and heaven be one.",第 5 首 - 萬有讚美天父,"萬有讚美天父，永在、全能之神，
天地萬物互相應聲，讚美祂大尊名；
花、草、樹木、水泉、穹蒼、海洋、山嶺，
述說祂大權能榮耀，顯明信實、慈仁。

萬有讚美天父，永在、全智之神，
天地萬物齊聲唱詩，讚美祂大聖名；
走獸、飛鳥、昆蟲、水族、牲畜、家禽，
都是天父創造、養活，各從其類滋生。

我心讚美天父，人類本為一家，
雖然始祖犯罪墮落，神恩格外增加；
差遣救主降世，寶血洗淨無瑕，
成聖、稱義，出死入生，得享天國榮華。"
Hymn 6 - The Spacious Firmament On High,"The spacious firmament on high, With all the blue ethereal sky,
And spangled heav’ns, a shining frame, Their great Original proclaim.
Th’unwearied sun from day to day, Does his Creator’s power display,
And publishes to ev’ry land The work of an almighty hand.

Soon as the evening shades prevail, The moon takes up the wondrous tale;
And nightly to the list’ning earth Repeats the story of her birth;
Whilst all the stars that round her burn, And all the planets in their turn,
Confirm the tidings as they roll, And spread the truth from pole to pole.

What though in solemn silence all Move round this dark terrestrial ball?
What though no real voice nor sound Amid their radiant orbs be found?
In reason’s ear they all rejoice, And utter forth a glorious voice,
Forever singing, as they shine, “The hand that made us is divine.”",第 6 首 - 頌主造化大功,"大哉，穹蒼，冥冥無疆！極目天象，舖張八方；
萬星羅列，燦爛爭光；紅日昇落，晝來夜往。
真神造化之功顯揚，托住萬有，權能昭彰；
深哉，神智、神能無量！我們應當讚美頌揚。

太陽西墜，明月東昇，二光照耀輪轉不停；
眾星無數，閃爍運行，各依軌道，秩序不更。
都由主宰管理週詳，偌大宇宙，保持安寧；
諸天萬象，述主榮耀，我們更當讚美主名。

一切生物佈滿寰瀛，各從其類，皆主造成，
賜福繁殖，養育群生，自古以來，主恩昌盛。
上主在天，雖不能見，藉著萬物，可以証明；
萬物有所本，萬有所靠，萬有所歸，獨一真神。"
"Hymn 7 - Joyful, Joyful, We Adore Thee","Joyful, joyful, we adore Thee, God of glory, Lord of love,
Hearts unfold like flow’rs before Thee, Opening to the sun above.
Melt the clouds of sin and sadness, Drive the dark of doubt away;
Giver of immortal gladness; Fill us with the light of day.

All Thy works with joy surround Thee, Earth and heav’n reflect Thy rays,
Stars and angels sing around Thee, Center of unbroken praise.
Field and forest, vale and mountain, Flow’ry meadow, flashing sea,
Chanting bird and flowing fountain, Call us to rejoice in Thee.

Thou art giving and forgiving, Ever blessing, ever blest,
Wellspring of the joy of living, Ocean depth of happy rest!
Thou our everlasting Father, All who live in love are Thine;
Teach us how to love each other, Lift us to the joy divine.

Mortals, join the happy chorus Which the morning stars began;
Father love is reigning o’er us, Brother love binds man to man.
Ever singing, march we onward, Victors in the midst of strife,
Joyful music leads us sunward In the triumph song of life.",第 7 首 - 萬有齊頌主,"歡樂，歡樂，屬主之人，讚美至尊獨一神；
心花開放，靈命更新，齊向朝陽吐清馨。
罪瘴、惡氛，求主掃盡，愁霧、疑雲俱廓清！
我們當以頌讚為祭，結出美果在嘴唇。

宇宙萬有，太空無際，一同顯映主榮光；
千萬天使，燦爛群星，排列環繞齊頌揚。
高山、茂林、清風、明月，好鳥吟叫，百花香；
鳴泉漱石，海浪拍岸，都在頌主而歡唱。

永存憐憫，廣行赦免，萬恩萬福出天宮；
平安泉源，歡樂江河，一切福氣永充豐。
慈愛天父！養育群生，活命存留祢愛中；
我等聖民蒙主救贖，屬靈福氣更無窮。

天父大愛，自天顯明，陽光、雨、露常照臨；
諸天歡樂，萬有稱頌，榮耀歸與主聖名！
受造之物服在虛空，一同嘆息到如今；
切望神子顯現出來，脫離轄制慶復興。"
Hymn 8 - O Come and Sing Unto the Lord,"O come and sing unto the Lord,
To Him our voices raise;
Let us in our most joyful songs
The Lord, our Saviour, praise.

Before His presence let us come
With praise and thankful voice;
Let us sing psalms to Him with grace,
With grateful hearts rejoice.

The Lord our God is King of Kings,
Above all gods His throne;
The depths of earth are in His hand,
The mountains are His own.

To Him the spacious sea belongs,
He made its waves and tides;
And by His hand the rising land
Was formed, and still abides.

O come, and bowing down to Him
Our worship let us bring;
Yea, let us kneel before the Lord,
Our Maker and our King.",第 8 首 - 當向神歌頌,"我們當向萬王之王，齊聲歌唱、頌揚；
同心讚美宇宙主宰，恩惠廣被萬方！

我們來到真神面前，心靈誠實、敬虔；
當用頌詞、靈歌、詩章，讚祂恩愛無邊！"
Hymn 9 - All People That on Earth Do Dwell,"All people that on earth do dwell,
Sing to the Lord with cheerful voice;
Him serve with fear, His praise forth tell;
Come ye before Him and rejoice.

Oh, enter then His gates with praise,
Approach with joy His courts unto;
Praise, laud, and bless His name always,
For it is seemly so to do.

For why? the Lord our God is good,
His mercy is forever sure;
His truth at all times firmly stood,
And shall from age to age endure.",第 9 首 - 向主歡呼,"普世萬族向主歡呼，
懷恩、感德，慶幸鼓舞！
齊來主前放聲歌頌，
以靈以誠，敬拜天父。

應當稱謝進主恩門，
在主聖堂，讚主榮尊；
聚精會神恭聽聖言，
心悅誠服，謝主鴻恩。

天父真神至善完全，
慈愛、憐憫，古今皆然；
應許信實堅定不變，
全能、公義，永遠綿延。"
Hymn 10 - Glory to Jesus,"Glory to His Name, The Almighty God!
Glory to our Lord, Praise His Name!

Glory to our God, He will never change.
Glory to our Lord, Praise His Name!

Glory be to God! Jesus comes again,
Glory to our Lord, Praise His Name!

REFRAIN
Hallelujah, Hallelujah! Glory to Jesus, Praise His Name!",第 10 首 - 榮耀歸耶穌,"榮耀歸耶穌，大權能的主，
榮耀歸耶穌，我的主；
哈利路亞，哈利路亞！
榮耀歸耶穌，我的主！

榮耀歸耶穌，永不改的主，
榮耀歸耶穌，我的主；
哈利路亞，哈利路亞！
榮耀歸耶穌，我的主！

榮耀歸耶穌，快要來的主，
榮耀歸耶穌，我的主；
哈利路亞，哈利路亞！
榮耀歸耶穌，我的主！"
